Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,310838014621.008,415034227218.489,1052584601611.46,926448240318.068,1144260547872.81,1394280784777.68,1543411012579.91,1573696522006.77,1464955475993.76,1349034029453.37,1208039015868.39,1323421072479.07
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166463386663.439,196799778883.361,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441885415805.825,382065930307.978,390799991147.468,416595666396.636
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006035.91566,5272617196.04517,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40747792237.9735
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,8076470000,10526000000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234.04255,9062906914.89362,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9575,31125851063.8298,32152686170.2128,35307127659.5745
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.559,53369787318.6245,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078665827.565,221415162445.648,249723887765.42
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2023318251.8769,3121500000,4607300000,4434050000,4461650000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000,4796845980.8226
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,21650000000,12736856827.9847,60763483146.0674,49209523809.5238,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54442374372.5094
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,206430841501.69,237904919845.218,518625897172.99,484552792442.345,483548031197.108,527008453886.929,497884216568.867,520925468952.938,530770977633.615,455039563132.776,467545548764.571,492681283049.248
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,413050000,832072450,1368625150,1336957250,1397113450,1487005600,1573670250,1612573850,1703951050,1778567600,1820158550,1838000000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,1959965243.76269,2569186642.86999,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9157355679.70205,9707432015.61441,8291155880.59505,8573159696.61128,9273558271.64744
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,1592400000,3480219000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,299787275.842376,439158233.199822,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1944782820.88824,2059258652.94668,2212638830.39439,2511852941.17647
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,4867582620.20708,8397912509.09679,16674324634.2373,17339992165.2422,19649631308.1648,23963033443.8518,27084497539.7974,30659338929.0883,32996187988.4226,33000198263.3864,33941126193.9219,37508642112.8799
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,5505984455.95855,19112739664.4697,17613836209.9581,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16209702863.6235,16911088173.7458,18168579578.1952
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,3790567051.86778,5788329609.15755,10945070441.9283,10267133177.7334,12786654365.8738,15682926895.9668,14686278707.4589,14915780538.6724,16250774266.6656,14420551446.4623,15648700274.4804,17406530780.7155
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,461951782000,655420645476.906,1695824571927.15,1667019780934.28,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1793989048409.29,2055505502224.73
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,3520551724.13793,6001153306.2645,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17098342541.4365,12930394937.8137,11400653959.8368,12128089001.5858
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,20632090909.0909,13153016530.8718,54409138498.3548,51884481410.3931,50610058210.3696,57418414504.0882,53903022339.0276,55758754071.6612,56731990231.9902,50199104511.4487,53240893665.1584,56831518294.4397
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3101301780.95067,2628920056.10098,8369637065.40255,8369175126.25316,8979966766.07232,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,11448781714.3131,12873114800.0165
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1132101252.51817,870486065.883137,1611634331.64869,1739781488.7457,2026864469.36388,2355652125.85184,2472384906.99793,2714505634.52629,3093647226.8107,3066681386.75112,3007029030.4001,3477502178.27657
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,306891107.262039,539227277.626411,1789333748.6799,1711817181.52969,1664310769.55229,1864824080.69256,1751888561.72747,1850951315.39815,1858121723.32185,1596154666.48019,1638927335.6211,1753736711.67273
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,3677897739.07628,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22158209502.6391
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,11151578050.7356,10083937740.0624,26409781215.1844,26017925551.8426,26143818509.6421,29337006833.0825,29104437355.0395,32348149947.3727,34942948737.3967,30916218544.4404,32217537942.6644,34798596482.4274
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,593929550908.468,742293448252.643,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1799268695861.8,1559623393038.66,1535767736946.18,1653042795255.04
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1440711395.67069,914500299.097034,1985240986.18508,1981732633.92013,1986015906.25044,2195599556.73866,2169706564.05899,1518565298.35641,1702899386.14322,1583776805.96568,1755468136.86556,1949411659.20453
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1738605558.05432,1385058161.76746,10351932604.4154,9253484108.49701,10657705536.4978,12156380425.0825,12368071038.7362,12949854262.8127,13922223233.5184,10985793715.2707,9412034268.6661,9981303726.23281
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,6439703434.71024,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,33113887817.9731,77860932151.8471,179638496278.574,172389498444.621,218537551220.071,252251992029.442,267122320056.702,278384332694.359,260584090570.988,243999477737.94,250036180921.053,277075944401.941
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,360857912565.966,1211346869605.24,4598206091384,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.9,11064666282625.5,11190992550229.5,12237700479375
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,40274204595.2296,99886577330.7271,243982437870.84,233821670544.258,287018184637.529,335415156702.186,369659700375.52,380191881860.372,378195716714.266,291519591532.951,280090999648.115,309191382833.365
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,250030760.754786,203846427.738737,523134896.968654,524157261.014644,530493353.218937,586281766.75997,570865941.229395,618663921.86116,647720707.076428,565689764.632629,616654490.413179,648920942.738052
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,9349764580.36997,19088046305.7971,19788515873.9704,18648373312.3884,21565722425.0028,25839749198.7761,29306223081.1458,32671683662.2385,35917650629.612,37917704900.1192,34991160099.7415,37241300948.659
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2798746050.58228,3219910550.39332,11859013280.9951,9593537550.75063,12007880438.6232,14425607179.6639,13677930123.5919,14085851348.069,14177437982.2619,8553154580.39951,7833508878.9666,8722553000.83526
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,7403457319.20472,14949514585.1585,30612932876.4403,30562361123.0307,37268635287.0856,42262697840.385,46473128285.5589,49745088111.6953,50577769837.7462,54775972988.7322,56988989896.6368,57057372468.0383
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,10795850106.9547,10717022462.6859,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,27040562587.1771,31273049200.243,35372603446.2605,33145096414.0731,36374849865.0472,40388624117.1109
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,..,21774273832.1031,70481451449.4223,62703143057.4238,59829574390.6875,62375044443.1969,56565475274.7722,58085856018.5104,57629518805.8871,49425513611.2448,51338524831.0314,54849180228.8716
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,28645436569.1489,30565400000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656100000,87132800000,..,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,5591130217.66965,10183317624.8822,27839460963.8201,25942622950.8197,25562251655.6291,27427161523.4918,25041372221.5084,24084572490.7063,23359294148.8656,19676167239.6584,20153871681.4159,21651791751.1832
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,40477403219.5176,61649492816.5201,235718586901.129,206179982164.402,207477857918.919,227948349666.354,207376427020.815,209402444996.104,207818330723.835,186829940545.759,195305084919.138,215725534372.371
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,138247261092.977,164158800460.219,353361056079.716,321241396034.248,321995350346.501,344003209695.606,327148899962.146,343584385594.132,352993633221.281,301298464861.385,306899653409.601,324871968807.469
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,452328087.282876,551230861.856506,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,1324733711.82922,1455035088.74594,1633741922.68737,1764268468.93991,1844674434.50371
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,166322222.222222,335845814.814815,458190185.185185,489074333.333333,493824407.407407,501025296.296296,485998000,501979259.259259,523666333.333333,535095851.851852,581484037.037037,562540740.740741
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,7073674721.12418,24305116729.1851,48288967303.4896,48376555305.6902,53982886258.2205,57811180659.4545,60657780260.6792,62661773591.7203,66065015410.0468,68802092020.9448,72342967648.3354,75931656814.657
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,15239278100.3502,18327764882.4412,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,98613972000,103056619000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,43130416913.4141,99838543960.0763,162818181818.182,188982374700.805,218888324504.753,236001858960.015,279372758361.832,288586231501.877,305529656458.438,332698041030.807,332927833278.038,235369129337.711
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,4817542204.02673,11784927700,17986886200,17601616000,18447922400,20283783700,21386153000,21977401900,22585841200,23166030400,23912227500,24805439600
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,112119406.548331,1045998496.43872,19749893536.3204,15027795173.2187,16298542027.9965,21329395900.871,22389627294.4179,21942597765.3631,21736500712.9638,13180194732.94,11259559879.052,12486753871.278
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..,706370815.584416,1380188800,1856695551.21951,2117039512.19512,2607739837.39837,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,..,5685774808.80862,24194039255.8957,19652492636.8436,19490936349.1753,23170239900.7654,23043864510.0543,25137153149.4377,26224622450.8302,22566956982.229,23337907618.5174,25921079612.3337
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,1114703088.1614,1738100853.05052,3294093485.20796,3580417066.92472,4438778424.30203,4820499924.2539,4823831656.51644,4560713073.91948,4377293816.28535,4020275298.02726,3720649374.57512,4408564260.16111
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,12175166763.285,8242392103.68061,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64464547915.2698,73000980433.9486,80561496133.9172
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,..,1062339943.83343,2413251995.84159,2257083698.63269,2301168186.90991,2468754074.54319,2356495468.27795,2613464380.46401,2810547884.18708,2476746087.18917,..,..
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,1337024782.22702,1684109743.49338,3523185919.55826,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4483416339.93854,4362128146.45309,4671313314.55578,5061202767.42948
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,141517648888.198,125539893126.958,283742493042.332,251499027507.641,247799815768.477,273674236772.815,256706466091.089,269980111642.898,272609288689.575,232464833065.554,238677672281.611,251884887972.766
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1269179616913.63,1362248940482.77,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2465134297438.91,2582501307216.42
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,3181206304.81549,3447543137.9415,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,5952293765.84468,5067865320.7979,15508574820.3516,12065138272.7538,14358631634.4187,18186515199.9688,17171468468.5691,17590680916.525,18179666879.0389,14377389785.603,14014278017.4685,14622880885.6842
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,317083373.524559,782915402.421095,965781078.206954,900639534.010899,951806368.699129,898290989.936018,910026155.731035,898947649.453801,833249466.848777,907655651.525834,962797146.496008,1014621519.85866
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,7753501867.76095,3057453482.55826,12795044472.7663,10766809099.0721,11638536834.4274,14434619982.2117,15846474595.773,16140047012.1438,16509305827.7171,13993546732.4726,14378016732.1587,15159281211.3967
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1764967948916.6,1949953934033.54,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3890606893346.69,3375611100742.22,3477796274496.8,3677439129776.6
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,5889174825.487,4983024408.14828,28526891010.4925,25977847813.7422,32174772955.9748,39566292432.8615,41939728978.7281,47805069494.9081,39086625008.6213,37338430643.4024,42803583022.1495,47330016342.5734
GDP (current US$),NY.GDP.MKTP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,97891090928.6328,130133845771.144,354460802548.704,330000252153.376,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,195541761243.144,192690813126.86,200288277129.038
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,1018970364.86443,1068030829.75591,2499107510.64122,2529948329.57153,2503156060.52524,2684467375.71479,2609667673.71601,2669515517.33348,2837737193.76392,2520206899.62693,2705891616.97574,..
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,278098777.777778,520044370.37037,825977888.888889,771278111.111111,771015888.888889,778648666.666667,799882148.148148,842620111.111111,911481481.481481,997007925.925926,1056188592.59259,1118816679.40741
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,..,..,4621000000,4781000000,4895000000,4928000000,5199000000,5337000000,5531000000,5697000000,5793000000,..
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,7650125217.35253,19288827158.9035,39136893345.1501,37733994976.4137,41338595380.8159,47654841112.8523,50388454861.1111,53851058955.2999,58722323918.1604,63767597193.9175,68663653469.1246,75620095537.5005
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,2666616176.91609,2995360969.16199,7009809997.49329,6493151288.20375,6992497898.58596,6511123904.00314,7504778989.47662,8263033524.59884,8765067644.04257,8857789705.63763,9275886117.43042,10496056732.546
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,243961995.509785,370173838.651652,864654795.287148,826798659.766283,850633309.814482,1099385895.08056,989875559.112237,1045790132.92157,1053512334.25891,1047808174.95585,1178204501.44059,1346933490.23577
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,396582263.291139,712667896.727512,1922598121.23066,2061323853.88576,2273225041.96217,2576024115.57832,2861562265.88301,2990006533.77749,3077086275.94585,3166029055.69007,3504024213.07506,3675631961.25908
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,..,3953846310.66081,6548530572.35291,6584649419.28348,6622541528.56888,7516834160.25277,7890216507.68913,8452509315.87722,8776350789.5993,8724656126.49849,7970649131.23416,8408150517.97684
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,3048881322.9572,7103507989.05044,13789715132.502,14587496229.1811,15839344591.9842,17710315005.9999,18528601901.324,18499710127.8385,19756494434.7031,20979767785.2104,21643936938.9096,22978532896.7816
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,76928290841.8701,171668164082.555,219279678430.164,214046415026.187,228637697575.04,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309383627028.561,320881182123.855,341449340450.649
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,..,47310623887.2319,157998423131.739,130593960612.172,130922638689.071,140782064609.187,127856647107.82,135215704418.963,140118140454.711,122879042001.915,125816640420.569,139135029758.29
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,6372905073.10779,8927140438.33316,17658408759.0494,12944114736.1985,13310567802.9356,14732689534.5966,14292008745.4017,15548321544.3776,17304033020.5364,16942247373.9704,20304098101.4115,23909289978.5861
GDP (current US$),NY.GDP.MKTP.CD,India,IND,316697337894.513,462146799337.698,1186952757636.11,1323940295874.06,1656617073124.71,1823049927772.05,1827637859136.23,1856722121394.42,2039127446299.3,2102390808997.09,2274229710530.03,2597491162897.67
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,106140727357.032,165021012077.81,510228634992.255,539580085612.401,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,932256495234.247,1015539017536.5
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,124813263926.246,109591707802.23,406070949553.87,414059094949.061,487069570463.766,583500357530.413,598853401276.104,467414852231.297,434474616831.914,385874474398.59,418976711586.862,439513511620.591
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,179885815374.719,..,131613661510.475,111660855042.735,138516722649.573,185749664444.444,218000986222.639,234648370497.427,234648370497.427,179640210726.448,171489001692.047,197715736040.609
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,49364681255.6988,99853528653.0311,275020023436.356,236311336482.356,221951354761.532,239018536581.675,225571853194.348,239389340720.488,258099014042.117,290617008367.572,304819018067.107,333730764773.18
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,..,1563667799.61578,5827468750,5487083657.89064,5920177688.50433,6142169524.11473,6433357030.0158,6754330154.76004,7428280401.5139,6792417112.29947,..,..
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,58986997916.8733,132339311284.428,215840354626.533,207419370241.335,233609522091.468,261628548084.179,257296579579.346,292489185194.417,308416982140.362,299093839689.55,317747542489.389,350850537827.281
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1177326294440.85,1141759996314.72,2390729163615.06,2185160183384.27,2125058244242.92,2276292404600.52,2072823157059.76,2130491320658.68,2151732868243.21,1832868490534.11,1859383610248.72,1934797937411.33
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,4592224067.37194,8985352831.94058,13678606692.2655,12038829246.2425,13191645685.5116,14439910353.0576,14800165406.7733,14274983015.9485,13897723431.3942,14186886642.6685,14056908749.3505,14768134912.4171
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3132817652848.04,4887519660744.86,5037908465114.48,5231382674593.7,5700098114744.41,6157459594823.72,6203213121334.12,5155717056270.83,4850413536037.84,4394977752877.82,4949273341993.88,4872136945507.59
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,4160003917.43258,8460424400.56418,21972004086.2336,23820230000,26425379436.6197,28840263380.2817,30937277605.6338,33593843661.9718,35826925774.6479,37517410281.6901,38654727746.4789,40068308516.2755
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,26932728898.8146,18291990619.137,133441612246.798,115308661142.927,148047348240.643,192626507971.584,207998568865.789,236634552078.102,221415572819.5,184388432148.715,137278320084.171,159406926359.122
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,8572359162.85631,12705357103.0056,35895153327.8497,37021512048.8158,40000088346.8041,41954942416.9133,50334699324.2604,55096730083.3224,61448046801.7207,64007293814.8755,70875289605.3804,74938190654.8558
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,39809538.6776989,67254174.3970315,139125482.301627,130465372.016846,153275912.676573,177142135.121196,188045661.627666,187153601.08129,178869298.720029,169140560.438735,181551516.503122,196150061.312078
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,279349355713.801,561633125839.994,1002219052967.54,901934953364.711,1094499338702.72,1202463682633.85,1222807284485.31,1305604981271.91,1411333926201.24,1382764027113.82,1414804158515.26,1530750923148.7
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,..,1849196082.05507,5687488208.58356,5653792720.20006,5829933774.83444,6686683347.2338,6500192727.73995,7073420074.34944,7386891336.07536,6439946767.21748,6715486725.66372,7128690556.68244
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,18427777777.7778,37711864406.7797,147395833333.333,105899930507.297,115419050942.08,154027536231.884,174070025008.932,174161142454.161,162631412508.784,114567298105.683,110912280701.754,120126277612.925
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,2674000000,1369693171.43504,5139957784.91084,4690062255.12247,4794357795.07139,6197766118.59856,6605139933.41063,7335027591.91628,7468096566.71158,6678178340.45121,6813092065.83507,7564738836.04122
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,865559856.1639,1731198022.45494,5443915120.50795,5832915387.08908,7127792629.58294,8749241114.18913,10191350119.6808,11942230508.334,13268458231.9284,14390391264.2607,15805707154.2329,16853079615.3519
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,..,7937758980.30127,35596016664.2304,26169854045.0375,23757368290.0955,28223552824.7508,28119996053.2511,30254677296.9181,31335013751.5424,26972863393.6384,27571513793.3984,30264454641.8004
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,2838485353.96187,17260364842.4544,29227350570.0166,35477118070.2487,38419626628.1924,40075674163.2504,43868565281.7247,46014226807.5622,47833413749.1211,49459296463.2836,49598825982.1559,51844487742.0232
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,596415104.549144,887295267.875155,1870722800.56166,1865963014.97575,2385950663.8256,2788022889.09394,2678494689.40317,2526020566.36978,2614576996.39661,2505879959.51217,2291319971.844,2639386291.42767
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,384400000,529064600,850040500,1155147400,1292697100,1545400000,1735500000,1946500000,2013000000,2034000000,2101000000,2158000000
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,28901836158.1921,38270206950.41,87140405361.2292,63028320702.0343,74773444900.5368,34699395523.6073,81873662518.8238,65502870173.7831,41142722414.3351,29274816453.7864,32257171354.0794,50984362478.4973
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,1421466239.56234,2483953102.79488,5081432924.0144,4504549214.22663,5082366478.08994,5739977477.47748,5456009384.66461,6391735893.83968,6657170923.37918,6289165409.55908,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,..,11539211480.3625,47850551148.8365,37440673477.8982,37120517693.8622,43476873412.803,42848195256.2142,46417340374.5203,48516371720.8346,41508609232.7778,42773029835.3222,47168303744.1329
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,13229247947.8513,21263514833.2412,55849686538.7432,51370543206.4462,53212476812.2957,60004630234.4135,56677961787.0717,61739352212.3049,66327344188.889,57784495265.4378,58631324559.4484,62404461274.6636
